title,type,dates,members,score
Tsuma Jirukan,Manga (1 vols),Jul 2012 - Jul 2012,90 members,N/A
Tadareta Boshi no Himitsu,Manga (1 vols),May 2009 - May 2009,82 members,N/A
Boku Senyou,Manga (1 vols),Aug 2004 - Aug 2004,58 members,N/A
Otona Switch,Manga (1 vols),Jun 2008 - Jun 2008,175 members,N/A
Mother Fucker,Manga (8 vols),Mar 1999 - Jun 2003,106 members,N/A
Homeless Saeko,Manga (1 vols),Nov 2004 - Nov 2004,51 members,N/A
Haha Koi Sakari,Manga (1 vols),Apr 2008 - Jun 2010,94 members,N/A
B-Hard,Manga (1 vols),Jul 1999 - Jul 1999,57 members,N/A
Hatsujou Harem Note♡,Manga (1 vols),Jul 2011 - Aug 2012,240 members,N/A
Inshoku-kei Oneesan ga Shitai Koto,Manga (1 vols),Aug 2012 - Aug 2012,153 members,N/A
H na Man-￮ no Tsukurikata,Manga (1 vols),May 2013 - Nov 2013,180 members,N/A
Evil Scream,One-shot (? vols),Jun 2013 - Jun 2013,100 members,N/A
Onnanoko Touban Hajimemashita,Manga (1 vols),Aug 2013 - Aug 2013,193 members,N/A
Yuugure Toshokan,One-shot (? vols),Jun 2012 - Jun 2012,177 members,N/A
Amai Dousei Ai,One-shot (? vols),Mar 2013 - Mar 2013,154 members,N/A
Futari Chouri Jisshuu,One-shot (? vols),Jul 2013 - Jul 2013,102 members,N/A
Konya no Sikorsky,Manga (1 vols),Jul 2006 - Mar 2008,94 members,N/A
Dakara Anata wa Fukukaichou,One-shot (? vols),Jul 2013 - Jul 2013,170 members,N/A
Ore no Yome wa Ningyo-hime,One-shot (? vols),Jul 2013 - Jul 2013,118 members,N/A
Umi no Yeah!! 2013,Manga (? vols),Dec 2012 - Jan 2014,141 members,N/A
Honey Kiss,One-shot (? vols),Jul 2013 - Jul 2013,218 members,N/A
Ikenai Amane-san,One-shot (? vols),May 2013 - May 2013,88 members,N/A
Love Letter wo Morattara Osananajimi ni Osowareta Kudan,One-shot (? vols),Jun 2013 - Jun 2013,99 members,N/A
Futanari Ai,Manga (1 vols),Sep 2010 - Sep 2010,148 members,N/A
Shinmitsu: Enbo-tachi no Hiai Soukan,Manga (1 vols),Jul 2005 - Jul 2005,56 members,N/A
Ane♡Mai Love,Manga (1 vols),May 2007 - May 2009,192 members,N/A
Utsu Part,Manga (? vols),Oct 2012 - Nov 2012,99 members,N/A
Netsujou no Rhythm,One-shot (? vols),Aug 2013 - Aug 2013,93 members,N/A
Gekinou Milk,Manga (1 vols),Nov 2008 - Nov 2008,115 members,N/A
Danshiko no Niku Benki-kun,Doujinshi (1 vols),Apr 2013 - Apr 2013,249 members,N/A
Koi-iro Diary,Manga (1 vols),Sep 2013 - Sep 2013,191 members,N/A
Samuzora Due Date,One-shot (? vols),Mar 2013 - Mar 2013,126 members,N/A
Akui no Hako,Manga (1 vols),Jun 2012 - May 2013,228 members,N/A
Mas Holic,Manga (1 vols),Apr 2011 - May 2012,83 members,N/A
Love Letter,Manga (1 vols),Jun 2006 - Nov 2007,152 members,N/A
Shuugaku Ryokou to Gyaruko-san,One-shot (? vols),Nov 2012 - Nov 2012,176 members,N/A
Hanten Kousei! Furyou to Onna no Boku,One-shot (? vols),Jul 2013 - Jul 2013,111 members,N/A
Castrato,One-shot (? vols),Jul 2013 - Jul 2013,173 members,N/A
Tawamure Yuuoni,Doujinshi (1 vols),Sep 2010 - Sep 2010,116 members,N/A
Suikyuu,Doujinshi (1 vols),Jul 2011 - Jul 2011,101 members,N/A
Horn,Doujinshi (2 vols),Nov 2010 - Dec 2012,129 members,N/A
Ryuukainraku,Doujinshi (1 vols),Nov 2011 - Nov 2011,78 members,N/A
Inyouhana,Doujinshi (1 vols),Sep 2008 - Sep 2008,79 members,N/A
Kitsuneko!,Doujinshi (1 vols),Dec 2011 - Dec 2011,123 members,N/A
Karyou-kou Onna wa Kimagure ni!!,Doujinshi (1 vols),Feb 2012 - Feb 2012,99 members,N/A
Boku no Ai Gangu,Manga (1 vols),Sep 2008 - Sep 2008,104 members,N/A
Yuugatou,Manga (1 vols),Oct 2008 - Feb 2010,154 members,N/A
Nikubenki-kun no Ichinichi,Doujinshi (1 vols),Aug 2013 - Aug 2013,220 members,N/A
Shikoshiko Suru nara Watashi no Karada de,One-shot (? vols),May 2012 - May 2012,78 members,N/A
Imouto-sama no Te no Hira de,One-shot (? vols),Jul 2012 - Jul 2012,197 members,N/A
DR: II,Doujinshi (? vols),Aug 2012 -,216 members,N/A
Phallic Girls,Doujinshi (3 vols),Dec 2005 - Aug 2011,267 members,N/A
Kyou wa Nani Shiyo♥,Manga (1 vols),Sep 2004 - May 2005,170 members,N/A
Binyuu Chousain Ayako,Manga (1 vols),Dec 2005 - Sep 2006,94 members,N/A
Koushoku Shounen no Susume,Manga (12 vols),Dec 2002 - May 2008,102 members,N/A
SM Shoujo no Yakata,Manga (1 vols),Jul 1997 - Jul 1997,34 members,N/A
Doutei Hunter,Manga (1 vols),May 2007 - Nov 2011,172 members,N/A
Inkou Kamitsu,Manga (1 vols),Sep 2007 - Sep 2007,66 members,N/A
Fetish na Yuuwaku,Manga (1 vols),Dec 2009 - Oct 2011,96 members,N/A
Seieki Dorobou,Manga (1 vols),Nov 2010 - Apr 2011,106 members,N/A
72: Ryoujoku Tatekomori Jiken,Manga (1 vols),May 2011 - Aug 2013,258 members,N/A
Kankin: Aru Mayaku Sousakan no Baai,One-shot (? vols),May 2004 - May 2004,56 members,N/A
Sai Gyaku,One-shot (? vols),Jul 2004 - Jul 2004,54 members,N/A
Erokawa Naburarekko,Manga (1 vols),Sep 2008 - Sep 2008,75 members,N/A
Nikudo,One-shot (? vols),Aug 2005 - Aug 2005,56 members,N/A
Idol Kyousei Sousa: Smartphone de Meirei shita Koto ga Genjitsu ni,Manga (2 vols),Nov 2012 - Mar 2014,174 members,N/A
Wakunetsu no Trap Smile,One-shot (? vols),May 2011 - May 2011,92 members,N/A
Nangoku Hatsujou Shinrinyoku,One-shot (? vols),Mar 2013 - Mar 2013,92 members,N/A
Nantoka Danshi,Doujinshi (3 vols),Aug 2012 - Dec 2013,86 members,N/A
Abunai Kankei,Manga (1 vols),Feb 2011 - Feb 2011,93 members,N/A
Oyakoi,Doujinshi (1 vols),Dec 2010 - Dec 2010,68 members,N/A
Boku to Kyoku Ane to Umi no Year!! Akira to Kyouka no Dotabata Natsuyasumi,Novel (1 vols),Nov 2007 - Nov 2007,49 members,N/A
Long & Beautiful Life,Manga (1 vols),Nov 2011 - Nov 2011,79 members,N/A
Hirotte Kudasai,Manga (1 vols),2012 - 2012,82 members,N/A
Aigan Concierge,Manga (1 vols),Jul 2013 - Jul 2013,115 members,N/A
Switch dj - After 5 Years...,Doujinshi (1 vols),Aug 2009 - Aug 2009,247 members,N/A
Jingai Shunman,Doujinshi (? vols),Dec 2009 -,194 members,N/A
Ashika no Harem ni Mazarikonda Shoujo no Tenmatsu,Doujinshi (? vols),Feb 2013 - Feb 2013,135 members,N/A
Ajin Shoujo-tan,Doujinshi (8 vols),Dec 2011 - Aug 2015,331 members,N/A
Abunai Kyuutoushitsu,One-shot (? vols),Apr 2010 - Apr 2010,119 members,N/A
Shin Shota Naburi,Manga (1 vols),Oct 2005 - Oct 2005,188 members,N/A
Haha to Ko no Inya,Manga (3 vols),Oct 2004 - Jul 2005,221 members,N/A
Zenra♥Bukatsu,Manga (1 vols),Jul 2007 - Jul 2007,74 members,N/A
In no Rakuin,Manga (1 vols),Jun 2006 - Jun 2006,65 members,N/A
Noushuku Pine,Manga (1 vols),Apr 1999 - Apr 1999,41 members,N/A
Hisoyaka na Kankei,Manga (1 vols),Mar 2005 - Mar 2005,62 members,N/A
Joou-sama wa M Dorei,Manga (1 vols),Jan 2008 - Jan 2008,74 members,N/A
Oshikake Saori-chan,One-shot (? vols),Aug 2013 - Aug 2013,123 members,N/A
Hito ni Ienai Aidagara,Manga (1 vols),Nov 1998 - Nov 1998,137 members,N/A
Ryouhin Chuuko,One-shot (? vols),Jul 2013 - Jul 2013,150 members,N/A
Maple Trap,Manga (1 vols),Sep 2013 - Sep 2013,148 members,N/A
Shoujo no Iroha,Manga (1 vols),Jan 2010 - Sep 2013,164 members,N/A
Mousou Ekisu♥,Manga (1 vols),Sep 2006 - Mar 2008,165 members,N/A
Toko-sen,Manga (1 vols),Jul 2008 - Dec 2009,167 members,N/A
Little Romance,Manga (1 vols),Sep 2007 - Jul 2008,97 members,N/A
Seitenkan,Manga (6 vols),May 2010 - Jul 2012,128 members,N/A
Tokunou! Otoko no Musume Milk,Manga (1 vols),Aug 2013 - Aug 2013,41 members,N/A
Usuba Kagerou,One-shot (? vols),Aug 2013 - Aug 2013,97 members,N/A
Sensei Ii Desho?,One-shot (? vols),Aug 2007 - Aug 2007,76 members,N/A
Daisuki♡Oniichan,One-shot (? vols),Aug 2008 - Aug 2008,100 members,N/A
Majuu Youjo,Manga (1 vols),Sep 2013 - Sep 2013,109 members,N/A
Oneesama to Kenja no Tou!,Manga (1 vols),Nov 2008 - Jul 2013,98 members,N/A
Royal Bitch Garden,Manga (1 vols),Aug 2012 - Jun 2013,155 members,N/A
SOS! Sukebe na Osananajimi ga Shinobikonde Kimashita.,Manga (1 vols),Dec 2010 - Oct 2012,86 members,N/A
Biniku no Kangoku,Manga (1 vols),Sep 2013 - Sep 2013,74 members,N/A
Mou Ochiru Shikanai,Manga (1 vols),Aug 2010 - Sep 2012,74 members,N/A
Imouto to Love-Ru!,Novel (1 vols),Jul 2012 - Jul 2012,196 members,N/A
Ojousama wa Himitsu no Idol!,Novel (1 vols),Jan 2012 - Jan 2012,32 members,N/A
Imouto Scramble,Novel (1 vols),Nov 2007 - Nov 2007,31 members,N/A
Onmyou Seitokai: Inju no Kusari,Novel (1 vols),May 2010 - May 2010,24 members,N/A
Kanpeki Cool na Seitokaichou wa Dereru to Eroi Ore no Ane,Novel (1 vols),Dec 2011 - Dec 2011,44 members,N/A
Kanshin no Kishi Albert: Inbi na Majo to Irekawatta Nikutai,Novel (1 vols),Jan 2012 - Jan 2012,37 members,N/A
Rakuen no Niwa,Manga (1 vols),Aug 2012 - Jan 2013,120 members,N/A
Oshikake! Kana-chan,Doujinshi (1 vols),May 2011 - May 2011,137 members,N/A
Violet Moon: Gekka no Inki,Novel (1 vols),Oct 2003 - Oct 2003,28 members,N/A
Mikko Miko! Dare ni Shiyou ka Kamisama no Iutoori,Novel (1 vols),Jun 2009 - Jun 2009,26 members,N/A
Maryoku Shoujo Doctor Kyrie,Novel (1 vols),Jul 2005 - Jul 2005,25 members,N/A
Valkyrie Slave: Sei Shoujo no Shitsuke,Novel (1 vols),Nov 2002 - Nov 2002,31 members,N/A
Sword Symphony: Etsuraku no Koukyoukyoku,Novel (1 vols),Apr 2003 - Apr 2003,22 members,N/A
Melty Maria: Fukushuu Nomi Senshi,Novel (1 vols),Nov 2004 - Nov 2004,24 members,N/A
Parallel Panic!,Novel (1 vols),Oct 2008 - Oct 2008,25 members,N/A
Shamanic Harem,Novel (1 vols),Jun 2007 - Jun 2007,33 members,N/A
Ojousama wa Osananajimi,Novel (1 vols),Feb 2009 - Feb 2009,28 members,N/A
Kenjuu Otome Saki: Kibou Koushaku kara no Chousenjou,Novel (1 vols),Feb 2004 - Feb 2004,24 members,N/A
Tasogare no Walkure: Chijoku no Ikusa Otome,Novel (1 vols),Dec 2007 - Dec 2007,32 members,N/A
Ubatte! Magical Confusion,Novel (1 vols),Jul 2008 - Jul 2008,30 members,N/A
Nariyuki Guardian,Novel (1 vols),Mar 2008 - Mar 2008,31 members,N/A
Maid to Shitsuji to Goshujinsama!,Novel (1 vols),Dec 2006 - Dec 2006,26 members,N/A
Gakuen Shimainin Tsurugizaki Makoto,Novel (1 vols),Jul 2006 - Jul 2006,31 members,N/A
Oneesan to Asobou!,Manga (1 vols),Dec 1997 - Dec 1997,44 members,N/A
Hatsukoi no Senki to Yuuwaku no Koakuma: Sekai wo Sukuu ni wa Ore ga Inai to Dame Mitai!,Novel (1 vols),Apr 2013 - Apr 2013,55 members,N/A
Kouki na Princess wo Shiiku Choukyou!,Novel (1 vols),May 2013 - May 2013,28 members,N/A
Tsun na Fuuki Iinchou ga Dereru Ero Shidou!,Novel (1 vols),Mar 2012 - Mar 2012,38 members,N/A
Ryuu Kishi Thiana: Manie ni Sasagerareshi Himegimi,Novel (1 vols),Dec 2008 - Dec 2008,26 members,N/A
Musou Engi: Otosareshi Ryuushouki,Novel (1 vols),Jul 2008 - Jul 2008,24 members,N/A
Ojousama Paradise: Yuzurenai Otome no Junjou!,Novel (1 vols),May 2009 - May 2009,25 members,N/A
Aoki Majo Levia: Nigerarenu Ingoku,Novel (1 vols),Sep 2007 - Sep 2007,40 members,N/A
Dorei Shousa Lucrezia,Novel (1 vols),Mar 2008 - Mar 2008,37 members,N/A
Taima Kyoushi Kisaya: Hajigyaku no Gakuen,Novel (1 vols),Jan 2009 - Jan 2009,37 members,N/A
Shinsei Kishi Oriana: Inma no Rougoku,Novel (1 vols),Sep 2011 - Sep 2011,37 members,N/A
Tenshi to Akuma to Aiyoku Keiyaku!,Novel (1 vols),Sep 2013 - Sep 2013,40 members,N/A
Megami Shiiku: Inyoku Mesugami no Seiten,Novel (1 vols),Dec 2012 - Dec 2012,40 members,N/A
Try☆Booking,Manga (1 vols),Mar 2010 - Mar 2010,90 members,N/A
Kasshoku Anamate: Momojirikko wo Otose♪,Novel (1 vols),Oct 2013 - Oct 2013,65 members,N/A
Mahou Shoujo Exceed Fina,Novel (1 vols),Dec 2007 - Dec 2007,28 members,N/A
Seirei Kishi Aquael,Novel (2 vols),Sep 2006 - Sep 2008,27 members,N/A
Divine Cross: Hakai no Sisters,Novel (1 vols),Mar 2006 - Mar 2006,30 members,N/A
Taima Kenshi Saya: Makutsu Gakuen no Wana,Novel (1 vols),Apr 2011 - Apr 2011,27 members,N/A
Gakuen Succubus Panic Oshiete Taima Sensei,Novel (1 vols),May 2009 - May 2009,54 members,N/A
Inyouchuu Etsu: Kairaku Henka Taimaroku,Novel (1 vols),Feb 2010 - Feb 2010,135 members,N/A
Illusion Girls,Manga (1 vols),Oct 2011 - Oct 2011,247 members,N/A
Douyara Ore wa Onnanoko Un ga Warui Rashii,Novel (1 vols),Mar 2013 - Mar 2013,43 members,N/A
Mahou Shoujo Ria: Juuyoku ni Hamaru Oyako,Novel (1 vols),May 2013 - May 2013,27 members,N/A
Mai! Mai!! Mai!!!,Novel (1 vols),May 2012 - May 2012,28 members,N/A
Utahime Chanter Seiren: Kougoku nite Saku Midarabana,Novel (1 vols),Mar 2013 - Mar 2013,34 members,N/A
Taima Sisters: Seijo Injoku no Gishiki,Novel (1 vols),Oct 2008 - Oct 2008,33 members,N/A
Ohimesama no Toriko! Dokidoki Hitojichi Life,Novel (1 vols),Feb 2009 - Feb 2009,31 members,N/A
Goshujinsama Desho! Tsun Kaichou no Maid Funtouki,Novel (1 vols),Aug 2009 - Aug 2009,30 members,N/A
Naisho no Kankei: Iinchou no Himitsu,Novel (1 vols),Jun 2009 - Jun 2009,39 members,N/A
Castle Prisoner Mesushoukou Reizoku Choukyou,Novel (1 vols),Oct 2010 - Oct 2010,40 members,N/A
Kunoichi vs Aliens: Inyoku Ninpouchou,Novel (1 vols),Feb 2012 - Feb 2012,30 members,N/A
Imouto wa Gravure Idol!,Novel (3 vols),Nov 2009 - May 2012,52 members,N/A
Inu no Iru Seikatsu,Manga (1 vols),Feb 2013 - Feb 2013,34 members,N/A
Hatsukoi no Theory,Manga (1 vols),Apr 2013 - Apr 2013,122 members,N/A
Maou Kouhousei-sama wa Oshikake Konyakusha,Novel (1 vols),Apr 2013 - Apr 2013,28 members,N/A
Oneesan to Tokkunchuu!,Novel (1 vols),Dec 2005 - Dec 2005,31 members,N/A
Fairy Force: Ijigen kara no Inryaku,Novel (1 vols),Jul 2006 - Jul 2006,27 members,N/A
Joshuu Kishi Selicia,Novel (2 vols),Jan 2004 - Aug 2004,22 members,N/A
Tokuinu Sousakan Michiru,Novel (1 vols),Jul 2007 - Jul 2007,26 members,N/A
Thunder Claps!,Novel (3 vols),Jul 2000 - Oct 2001,23 members,N/A
Ooedo Elf Buraichou: Inchigatana no Naku Yoru,Novel (1 vols),May 2002 - May 2002,34 members,N/A
Boku dake no Megami Shimai,Novel (1 vols),Mar 2008 - Mar 2008,34 members,N/A
Gakuen Souken Enbu,Novel (2 vols),Dec 2007 - Dec 2008,29 members,N/A
Youma Koushounin Luca,Novel (1 vols),Jan 2005 - Jan 2005,25 members,N/A
Mahou Shoujo Splash Lycée,Novel (1 vols),Dec 2005 - Dec 2005,35 members,N/A
Narikiri Tsun Dorei,Manga (1 vols),Nov 2010 - Nov 2010,122 members,N/A
Warui Senpaitaku no Isourou Jijou,Manga (1 vols),Oct 2012 - Oct 2012,89 members,N/A
Nakadashi Haramase Shinyaku Chousa,Novel (1 vols),Dec 2011 - Dec 2011,29 members,N/A
Devil Sister Karen,Novel (1 vols),Nov 2004 - Nov 2004,26 members,N/A
Medical Sisters,Novel (1 vols),Sep 2005 - Sep 2005,27 members,N/A
Walpurgis no Inmu,Novel (2 vols),Jun 2009 - May 2010,27 members,N/A
Yami no Shoukoujo Lyzelle,Novel (1 vols),May 2005 - May 2005,23 members,N/A
Futagohime no Kanon,Novel (2 vols),Jul 2008 - Jan 2009,30 members,N/A
Samurai Initiation: Deshi to Shugyou Zanmai no Hibi,Novel (1 vols),Apr 2007 - Apr 2007,23 members,N/A
Tsuyokiss Another Story: Kurogane Otome no Baai,Novel (1 vols),Jun 2006 - Jun 2006,37 members,N/A
Tsuyokiss Another Story: Konoe Sunao no Baai,Novel (1 vols),Jun 2007 - Jun 2007,30 members,N/A
Hoshiful: Seitou Gakuen Tenmon Doukoukai - Hoshikawa Ruka no Hoshizora,Novel (1 vols),Jan 2008 - Jan 2008,25 members,N/A
Shikijinsen Miko Mizuki: Juin no Ikenie,Novel (1 vols),May 2004 - May 2004,20 members,N/A
Tsuyokiss Another Story: Yashi Nagomi no Baai,Novel (2 vols),Feb 2006 - Feb 2007,37 members,N/A
Tsuyokiss Another Story: Kiriya Erika no Baai,Novel (1 vols),Oct 2006 - Oct 2006,36 members,N/A
Ojousama wa A ga Osuki!,Novel (1 vols),Mar 2010 - Mar 2010,92 members,N/A
Mumasete yo Ore no Seigi,Novel (4 vols),Sep 2012 - May 2017,36 members,N/A
Tsuyokiss Another Story: Kanisawa Kinu no Baai,Novel (1 vols),Oct 2007 - Oct 2007,34 members,N/A
Tsuyokiss Another Story: Otona-gomi to Neko-hime to Chisana Otome-san no Baai,Novel (1 vols),Mar 2008 - Mar 2008,52 members,N/A
Imouto no Miu ga Zenbu Shite Ageru!,Novel (1 vols),Oct 2013 - Oct 2013,29 members,N/A
Netorare Osananajimi: Haruka to Chika,Novel (1 vols),Dec 2011 - Dec 2011,45 members,N/A
Nee♥Summer!  Nee♥Sama!,Novel (1 vols),Sep 2010 - Sep 2010,342 members,N/A
Shokku: Gakuen Youshokutan,Novel (1 vols),Aug 2007 - Aug 2007,22 members,N/A
Guilty Train,Novel (4 vols),Oct 2000 - Jan 2005,29 members,N/A
Haitoku no Taima Shoujo Kasumi,Novel (1 vols),Feb 2008 - Feb 2008,30 members,N/A
Imouto ni Hitorijime!,Novel (1 vols),Mar 2010 - Mar 2010,28 members,N/A
Deep Cure: Joi to Shounen-tachi no Kyouen,Novel (1 vols),Dec 2001 - Dec 2001,27 members,N/A
Shoujo Kaitou Night Fairy: Ingoku no Kijutsushi,Novel (1 vols),Apr 2006 - Apr 2006,23 members,N/A
Kemomi Mix,Novel (1 vols),Jul 2009 - Jul 2009,37 members,N/A
Seitokaichou Breeder: Ojousama no Shiiku Nikki,Novel (1 vols),Jan 2011 - Jan 2011,42 members,N/A
Kaitou Night Mina,Novel (1 vols),Jan 2005 - Jan 2005,21 members,N/A
Souki Majoku: Kangoku no Shimai Oujo,Novel (1 vols),Dec 2006 - Dec 2006,27 members,N/A
Seitokaichou Kokusenin Ageha no Kutsujoku,Novel (1 vols),Oct 2009 - Oct 2009,29 members,N/A
Narikiri Princess,Novel (1 vols),Jul 2005 - Jul 2005,22 members,N/A
Waitress Panic,Novel (1 vols),Sep 2006 - Sep 2006,27 members,N/A
Shiritsu Tantei Takasuga Erika no Jikenbo,Novel (2 vols),Feb 2009 - Jan 2013,27 members,N/A
Sakral Ritter Mizuki,Novel (1 vols),Oct 2004 - Oct 2004,21 members,N/A
Seisou Shoujo Unison Jewel: Ojoku ni Mamireta Koniro no Senritsu,Novel (1 vols),Jul 2012 - Jul 2012,26 members,N/A
Seima Change,Novel (1 vols),Dec 2004 - Dec 2004,27 members,N/A
Orion Heart: Injoku no Sukumizu Sailor Senshi,Novel (2 vols),Jul 2008 - Nov 2008,31 members,N/A
Konna Ko ga Itara Boku wa Mou...!! Oone Nagisa no Jounetsu,Novel (1 vols),Feb 2007 - Feb 2007,28 members,N/A
Seitokaichou Kitasenju Kirin no Akumu,Novel (1 vols),Aug 2011 - Aug 2011,25 members,N/A
Boku no Imouto wa Kaitou ni Hensou Shiteiru Tsumori desu.,Novel (1 vols),Jun 2011 - Jun 2011,39 members,N/A
Uwasa no D-Cup Dealer Miho,Novel (1 vols),Mar 2005 - Mar 2005,24 members,N/A
Metal Eraser NEO: Chijoku no Program,Novel (1 vols),Apr 2008 - Apr 2008,36 members,N/A
Nostradamus ni Kiitemiro♪: Akiha Honoka no Yakusoku,Novel (1 vols),Jul 2008 - Jul 2008,27 members,N/A
Ojousama wa Perochuu Love!,Novel (1 vols),Dec 2012 - Dec 2012,28 members,N/A
Imouto to Kozukuri Jinja!,Novel (1 vols),Jul 2012 - Jul 2012,31 members,N/A
Love♥Para: Love Heart Paradise,Novel (1 vols),Oct 2005 - Oct 2005,27 members,N/A
Yuuwaku Resort: Bunny Bunny Panic,Novel (1 vols),Nov 2008 - Nov 2008,26 members,N/A
Sukumizu Maid Paradise,Novel (1 vols),Jul 2007 - Jul 2007,34 members,N/A
Heartful Panic: Dokidoki Rinkai Gakuen,Novel (1 vols),Jan 2006 - Jan 2006,35 members,N/A
Ojousama Shimai no Meirei desu!,Novel (1 vols),Jun 2009 - Jun 2009,28 members,N/A
Mahou Shoujo no Sodatekata Oniichan wa Hi-Potion,Novel (1 vols),Apr 2009 - Apr 2009,36 members,N/A
Boku no Maid wa Doukyuusei,Novel (1 vols),Apr 2010 - Apr 2010,46 members,N/A
Oneesan ga Miteageru,Novel (1 vols),May 2006 - May 2006,25 members,N/A
Oujo-sama to Mujintou!? Happa Mizugi Paradise,Novel (1 vols),Oct 2007 - Oct 2007,24 members,N/A
Harem Sister,Novel (2 vols),Aug 2007 - Apr 2011,47 members,N/A
Harem Paladin,Novel (1 vols),Jun 2009 - Jun 2009,36 members,N/A
Joou Ojoku: Kikotsu no Gunshi,Novel (1 vols),Jan 2003 - Jan 2003,26 members,N/A
Harem Shadow,Novel (1 vols),Apr 2007 - Apr 2007,36 members,N/A
Harem Fighter,Novel (1 vols),Apr 2008 - Apr 2008,31 members,N/A
Harem Caravan,Novel (1 vols),Jun 2006 - Jun 2006,46 members,N/A
Spo-koi! Tennis-bu! Volley-bu! Kendoubu!,Novel (1 vols),Aug 2007 - Aug 2007,29 members,N/A
Harem Crisis,Novel (1 vols),Aug 2008 - Aug 2008,38 members,N/A
Futari no Kenbu,Novel (1 vols),Sep 2009 - Sep 2009,27 members,N/A
Harem Engage,Novel (1 vols),Dec 2006 - Dec 2006,39 members,N/A
Katekiyo! Kateikyoushi to Harem Lessons?,Novel (1 vols),Jun 2006 - Jun 2006,20 members,N/A
Harem Wizard Academy,Novel (1 vols),Dec 2008 - Dec 2008,49 members,N/A
Houkago Kozukuri Club,Novel (1 vols),Jul 2010 - Jul 2010,34 members,N/A
Karei naru Taima Tantei Sasaki Ayako,Novel (1 vols),Nov 2004 - Nov 2004,28 members,N/A
Harem Castle,Novel (4 vols),May 2005 - Jul 2011,90 members,N/A
Harem Pirates,Novel (2 vols),Nov 2005 - Nov 2007,43 members,N/A
Spiral Debt: Shiritsu Tantei Ally no Inbi na Nichijou,Novel (1 vols),Jan 2002 - Jan 2002,30 members,N/A
Battle of Darkness: Ikusa Miko Kyoukan,Novel (1 vols),Feb 2001 - Feb 2001,30 members,N/A
Ore Yome,Manga (1 vols),Jan 2012 - Jan 2012,154 members,N/A
Ore no Kanojo no Uraomote,Novel (1 vols),Aug 2012 - Aug 2012,79 members,N/A
Harem Meister,Novel (1 vols),Feb 2010 - Feb 2010,40 members,N/A
Pearl Desire: Sennyuu Tokusou Leyla,Novel (1 vols),Jul 2002 - Jul 2002,21 members,N/A
Harem Royal Guard,Novel (1 vols),Apr 2010 - Apr 2010,36 members,N/A
Butou Miko-den Satsuki,Novel (1 vols),Sep 2002 - Sep 2002,40 members,N/A
Harem Wedding,Novel (1 vols),Oct 2009 - Oct 2009,46 members,N/A
Tokusou Tenshi Shellsaver,Novel (1 vols),Jul 2005 - Jul 2005,24 members,N/A
Harem Prisoner,Novel (1 vols),Dec 2009 - Dec 2009,40 members,N/A
Cosmic Nurse Yukina,Novel (1 vols),Nov 2003 - Nov 2003,21 members,N/A
Kangoku no Datenshi: Battle Mermaid,Novel (1 vols),Jan 2003 - Jan 2003,25 members,N/A
Solid Blade Kurenai,Novel (1 vols),Jun 2003 - Jun 2003,24 members,N/A
Tokusou Kihei Artemis,Novel (2 vols),Feb 2007 - May 2007,25 members,N/A
Gakuen Senki Tomoe:  Injoku no Gekokujou,Novel (1 vols),Jun 2011 - Jun 2011,39 members,N/A
Inyouchuu: Ryoushoku Gakuen Taimaroku,Novel (1 vols),Feb 2006 - Feb 2006,116 members,N/A
Inyouchuu Shoku: Ryoushoku Shima Taimaroku,Novel (1 vols),Oct 2006 - Oct 2006,140 members,N/A
Sono Ude de Boku wo Daite,Manga (1 vols),Oct 2002 - Oct 2002,137 members,N/A
Hokenshitsu no Majo: Faye-sensei no Ikenai Kagai Jugyou,Novel (1 vols),Feb 2005 - Feb 2005,35 members,N/A
Bousou Princess: Ellis Hime no Junan,Novel (1 vols),Nov 2004 - Nov 2004,35 members,N/A
Kunoichiden Sayaka,Novel (1 vols),Mar 2006 - Mar 2006,31 members,N/A
Alicia Ingoku no Himekishi,Novel (1 vols),Sep 2012 - Sep 2012,40 members,N/A
Strike Angel Mayu,Novel (1 vols),Jun 2005 - Jun 2005,23 members,N/A
Uchuu Keigi Exarion,Novel (1 vols),Jul 2004 - Jul 2004,25 members,N/A
Shinrou no Ikusa Kannagi Saori,Novel (1 vols),Jun 2006 - Jun 2006,28 members,N/A
Masenki Saya: Injoku no Touen,Novel (1 vols),Oct 2010 - Oct 2010,25 members,N/A
Shouka Jogakuen e Youkoso: Boku wa Rijichou,Novel (1 vols),Oct 2005 - Oct 2005,29 members,N/A
Mahou Senshi Elixir Knights: Unmei ni Tsunagareshi Otome-tachi,Novel (1 vols),Dec 2007 - Dec 2007,30 members,N/A
Bloody Butler Mina to Lucie to Inbi na Kiba,Novel (1 vols),Jun 2008 - Jun 2008,32 members,N/A
Mahou Shoujo Chiffon: Yogosareta Momo-hime,Novel (1 vols),Mar 2007 - Mar 2007,28 members,N/A
Shin Noroiya Zero,Novel (3 vols),May 2005 - Dec 2009,25 members,N/A
Gakuen Maimu Maimu: Danshi Seito wa Boku Hitori!?,Novel (1 vols),Feb 2007 - Feb 2007,29 members,N/A
